Paul A. Samuelson                  1970     Economics           5

Kenneth J. Arrow                   1972     Economics           3

Leonid Vitalevich Kantorovich      1975     Economics           2

Tjalling C. Koopmans               1975     Economics           4

Milton Friedman                    1976     Economics           3

Herbert A. Simon                   1978     Economics           3

James Tobin                        1981     Economics           7

Gerard Debreu                      1983     Economics           3

Franco Modigliani                  1985     Economics           4

Robert M. Solow                    1987     Economics           4

Harry M. Markowitz                 1990     Economics           2

Merton H. Miller                   1990     Economics           4

John C. Harsanyi                   1994     Economics           8

John F. Nash                       1994     Economics           4

Reinhard Selten                    1994     Economics           5

James Mirrlees                     1996     Economics           3

William S. Vickrey                 1996     Economics           5

Robert C. Merton                   1997     Economics           6

Amartya Sen                        1998     Economics           4

James J. Heckman                   2000     Economics           4

George A. Akerlof                  2001     Economics           5

Joseph Stiglitz                    2001     Economics           4

Daniel Kahneman                    2002     Economics           3

Vernon L. Smith                    2002     Economics           4

Robert F. Engle, III               2003     Economics           4

Clive William John Granger         2003     Economics           4

Fynn E. Kydland                    2004     Economics           6

Robert J. Aumann                   2005     Economics           3

Edmund S. Phelps                   2006     Economics           4

Leonid Hurwicz                     2007     Economics           3

Eric S. Maskin                     2007     Economics           2

Roger B. Myerson                   2007     Economics           3

Elinor Ostrom                      2009     Economics           5

Dale T. Mortensen                  2010     Economics           5

Thomas J. Sargent                  2011     Economics           5

Christopher A. Sims                2011     Economics           5

Alvin E. Roth                      2012     Economics           3

Lloyd S. Shapley                   2012     Economics           3

Lars Peter Hansen                  2013     Economics           4

Eugene F. Fama                     2013     Economics           5

Robert J. Shiller                  2013     Economics           7

Jean Tirole                        2014     Economics           3

Angus Deaton                       2015     Economics           5

Oliver D. Hart                     2016     Economics           3

Bengt Holmstrom                    2016     Economics           4

Paul M. Romer                      2018     Economics           4

Abhijit Banerjee                   2019     Economics           4

Esther Duflo                       2019     Economics           5

Paul R. Milgrom                    2020     Economics           4

Robert B. Wilson                   2020     Economics           5 
